User Name,Thumbnail URL,Comment Time,Likes,Comment Text
Rizwan Ghzzaal,https://yt3.ggpht.com/ytc/AGIKgqMqIMh5DlfT9MZrQFpWrNAAgVCndqe7xSFo-8C4ug=s48-c-k-c0x00ffffff-no-rj,2 years ago,2,Ehmad Bhai Allah Apko jaza de really its very important for the fresh grads or those who are in their study to be on the right direction. Your Efforts are Great.
Naeem Haider,https://yt3.ggpht.com/ytc/AGIKgqOrtwvD1Hs7oeO3UpcUbkfZS6PsI5r9CE05dhORXg=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Well done Ehmad . Seeing you helping people thats a good job.
One question that was answered but still need precise answers .
What are key skills needed to apply for devops role and what company are looking for a devops guy. Normally they need tons of skills but still curious  to know as i have backend Engineer Experinece for past 3 years want to switch roles to devops side.
Secondly how much time will it take  to prepare to land  first devops  job without impacting current pay scale(know this is open ended question but still some valid clue will help alot) .
Thanks :)"
Naeem Haider,,2 years ago,1,Do a session with different backend developers espacially working on ruby on rails  and wanted to learn  different languages /frameworks by acquiring right knowledge needed to be capable enough to  start working in production Applications .
Ibrahim Malik,,2 years ago,0,Learned so much from this session Ehmad. Keep it up and a very knowledgable guest
Khizar Hayat,,2 years ago,0,"Again a very good discussion and informative video for students and beginners.
My Question for Sad Ali

What is the difference between Jenkins and the GitLab CI/CD tool? We can set a pipeline on GitLab as well to automate the stuff like unit testing. Can we say Jenkins is an old technology nowadays or it is similar to GitLab CI/CD tools with some differences?

2nd question is that can we set some triggers on the server as well to pull the code automatically from the GitHub/Gitlab repository when the repository updated with some new code? 
I'm doing this part manually like access to the server and take the latest pull from the repository, that's why I have asked the above question.

I'll go with your suggestion about live Q&A on Instagram.

Thanks again for such amazing content."
Hadi Ali,,2 years ago,0,"Really like the whole episode.
I just watched it and I thought that I must give a like to this heavily informative video.
you are doing such a nice job. Keep doing."
Mohammad Riyan,,1 year ago,0,I learned a lot of things from you both guys ️
taha ali,,2 years ago,0,"Asalam o alaikum 
Sir tell me  one thing .. Im so confuse to make career in programming  i don't know which  is better to me. Android development or software development. Oracle development... Or web.. Im doing work in web development but i realise  in web development there is no scope any more i think. I can able to learn and understanding programing very well but tell me one programing line. I will focus on it i have done bscs from virtual university .. I live in karachi. ..
Thanks you"
Travel Diary - WheeLLog,,2 years ago,1,"Masters Degree is only Good if you are looking for Sarkari Nokri, Private Companies preferred Skill full persons."
Nauman Asghar,,2 years ago,0,Computer science degree vs software engineering? And what is your preference?
Mian Khalid,,2 years ago,1,"4 ... 2.94 ... #JamesBondVibes!
p.s. this was a fun episode, especially closeup frames of Saad bhai while he joked about things :thumbsup:"
Abdul Rafey,,1 year ago,0,Always on the top <3
Muhammad Araiz Bin Saqib,,10 months ago,0,Where do I learn DevOps from. Im a student of CS final year and cant afford hefty price of udemy coursera courses...
Zubair Rahim,,2 years ago (edited),2,How to get an Internship of Devops most of the jobs require 3-5 years experience?
Ehmad Zubair,,2 years ago (edited),1,"My Instagram: https://www.instagram.com/ehmadzubair/

Like this comment if you think we should do a weekly Instagram LIVE Q & A"
arham rasheed,,2 years ago,0,love and respect sir
MAKKAH PAK MADINA PAK,,2 years ago,0,"Great sir .
Arrange discussion with .net developer please"
Hammad Arif,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,2 years ago,3,sir ye ap nht zabrdst kam kr rahe hain har field k professional ko blo kar interview lete hai it helps a lot
ippy,https://yt3.ggpht.com/ytc/AGIKgqPDzHpd4YVNFlA_F6vkVNqv6jLqz2kmS52_Db7-=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,can you make a video about software engineering degree vs computer science degree
Najam Ul hassan,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Aoa Sir i am doing software engineering from Numl Islamabad i am in 5th semester i am good at coding but i dont like it i wanna work as QA  engineer could you plz tell me the steps through which i can learn about QA just like intership etc
Ali Akhtar,https://yt3.ggpht.com/ytc/AGIKgqMU4y_QE-zAThRJHpyU4_PvUVzSg59Ahqwv-w=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,"Sir ek information chayie thi. Agar hum yahan se software engineer mein bachelor karein or baki studies or career kisi or country mein banaye   
tu*possible hai?"
Muhammad Usman Butt,https://yt3.ggpht.com/ytc/AGIKgqOPfmRYC66Qt1gN_xk_YemigvbNXHQgoMcWJvP2UA=s48-c-k-c0x00ffffff-no-rj,10 months ago,0,Sir data science ke bare update kare
Hammad Arif,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Yes sir plz do live
Fahad Amin,https://yt3.ggpht.com/ytc/AGIKgqOdcCqOy0hfKCNtpC1---IfMMjH4p3KJPIiqjavCw=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Fruitful Conversation
Android world,https://yt3.ggpht.com/ytc/AGIKgqNyBj4kBVKqgso4sr8nPSd0gD8NedpZGLe9BpRI=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Tell me which degree he have BSCS or BSSE
syed mudassir,https://yt3.ggpht.com/ytc/AGIKgqMHdqWJrsNcL7pbM0eVVYuplL6O9mRmHfE2AWAr=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Good
Abdul Haseeb,https://yt3.ggpht.com/ytc/AGIKgqNUc6wFWOuuFULQmu6YkhdVxPMVRnjSTs0hLE-ILQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,
Zoyal Noor,https://yt3.ggpht.com/MwNh6T26Ivu595om2CGFfqgXlnO7DeLnFppIm2rFyYhemQhxLwdgJ1ZZm7pKmdvoNh5mitzAAHE=s48-c-k-c0x00ffffff-no-rj,3 months ago,0,Yes 
JAWAD UMAR,https://yt3.ggpht.com/ytc/AGIKgqMI3ALcSehvbNmrZoeME5aI9sQGSGiCp2KRVg=s48-c-k-c0x00ffffff-no-rj,2 years ago,1,Sir Virtual University BS Software Engineering key ley kisi hey?
